station,latitude,longitude,numDocks,timestamp,year,month,day,hour,weekday,weekhour,isHoliday,windMaxSpeed.m.s,windMeanSpeed.m.s,windDirection.grades,temperature.C,relHumidity.HR,airPressure.mb,bikes_3h_ago,full_profile_3h_diff_bikes,full_profile_bikes,short_profile_3h_diff_bikes,short_profile_bikes,bikes
234,39.484848148400005,-0.3621370647,18,1412114400.0,2014,10,1,0,Wednesday,49,0,11.3,3.2,67.5,21.3,85.0,855.3,,,,,,7.0
234,39.484848148400005,-0.3621370647,18,1412118000.0,2014,10,1,1,Wednesday,50,0,1.6,0.0,157.5,21.1,86.0,1000.6,,,,,,12.0
234,39.484848148400005,-0.3621370647,18,1412121600.0,2014,10,1,2,Wednesday,51,0,1.6,0.0,112.5,20.9,86.0,880.6,,,,,,16.0
234,39.484848148400005,-0.3621370647,18,1412125200.0,2014,10,1,3,Wednesday,52,0,0.0,0.0,146.3,20.4,88.0,859.8,7.0,,,,,18.0
234,39.484848148400005,-0.3621370647,18,1412128800.0,2014,10,1,4,Wednesday,53,0,6.4,3.2,157.5,20.3,87.0,898.1,12.0,,,,,18.0
234,39.484848148400005,-0.3621370647,18,1412132400.0,2014,10,1,5,Wednesday,54,0,6.4,1.6,135.0,20.1,88.0,910.6,16.0,,,,,18.0
234,39.484848148400005,-0.3621370647,18,1412136000.0,2014,10,1,6,Wednesday,55,0,4.8,1.6,157.5,19.6,89.0,908.1,18.0,,,,,18.0
234,39.484848148400005,-0.3621370647,18,1412139600.0,2014,10,1,7,Wednesday,56,0,0.0,0.0,146.3,19.7,89.0,987.8,18.0,,,,,14.0
234,39.484848148400005,-0.3621370647,18,1412143200.0,2014,10,1,8,Wednesday,57,0,3.2,0.0,135.0,19.8,88.0,971.3,18.0,,,,,3.0
234,39.484848148400005,-0.3621370647,18,1412146800.0,2014,10,1,9,Wednesday,58,0,4.8,1.6,135.0,20.1,87.0,983.1,18.0,,,,,6.0
234,39.484848148400005,-0.3621370647,18,1412150400.0,2014,10,1,10,Wednesday,59,0,6.4,3.2,67.5,21.1,84.0,983.1,14.0,,,,,2.0
234,39.484848148400005,-0.3621370647,18,1412154000.0,2014,10,1,11,Wednesday,60,0,20.9,9.7,67.5,22.2,82.0,884.0,3.0,,,,,1.0
234,39.484848148400005,-0.3621370647,18,1412157600.0,2014,10,1,12,Wednesday,61,0,20.9,12.9,67.5,22.8,80.0,850.0,6.0,,,,,5.0
234,39.484848148400005,-0.3621370647,18,1412161200.0,2014,10,1,13,Wednesday,62,0,20.9,11.3,67.5,23.1,78.0,819.7,2.0,,,,,14.0
234,39.484848148400005,-0.3621370647,18,1412164800.0,2014,10,1,14,Wednesday,63,0,22.5,12.9,67.5,23.2,78.0,811.9,1.0,,,,,18.0
234,39.484848148400005,-0.3621370647,18,1412168400.0,2014,10,1,15,Wednesday,64,0,22.5,12.9,67.5,23.3,76.0,997.4,5.0,,,,,8.0
234,39.484848148400005,-0.3621370647,18,1412172000.0,2014,10,1,16,Wednesday,65,0,19.3,8.0,67.5,23.3,77.0,1084.9,14.0,,,,,7.0
234,39.484848148400005,-0.3621370647,18,1412175600.0,2014,10,1,17,Wednesday,66,0,16.1,6.4,22.5,23.2,79.0,996.9,18.0,,,,,14.0
234,39.484848148400005,-0.3621370647,18,1412179200.0,2014,10,1,18,Wednesday,67,0,16.1,6.4,22.5,23.1,81.0,1072.1,8.0,,,,,17.0
234,39.484848148400005,-0.3621370647,18,1412182800.0,2014,10,1,19,Wednesday,68,0,11.3,4.8,22.5,22.9,80.0,971.0,7.0,,,,,3.0
234,39.484848148400005,-0.3621370647,18,1412186400.0,2014,10,1,20,Wednesday,69,0,9.7,4.8,0.0,22.7,81.0,971.0,14.0,,,,,11.0
234,39.484848148400005,-0.3621370647,18,1412190000.0,2014,10,1,21,Wednesday,70,0,8.0,1.6,22.5,22.7,82.0,1021.3,17.0,,,,,16.0
234,39.484848148400005,-0.3621370647,18,1412193600.0,2014,10,1,22,Wednesday,71,0,6.4,1.6,45.0,22.6,82.0,983.9,3.0,,,,,16.0
234,39.484848148400005,-0.3621370647,18,1412197200.0,2014,10,1,23,Wednesday,72,0,3.2,0.0,67.5,22.5,83.0,1001.9,11.0,,,,,14.0
234,39.484848148400005,-0.3621370647,18,1412200800.0,2014,10,2,0,Thursday,73,0,4.8,1.6,157.5,21.8,85.0,909.1,16.0,,,,,11.0
234,39.484848148400005,-0.3621370647,18,1412204400.0,2014,10,2,1,Thursday,74,0,8.0,3.2,67.5,21.6,86.0,909.1,16.0,,,,,5.0
234,39.484848148400005,-0.3621370647,18,1412208000.0,2014,10,2,2,Thursday,75,0,3.2,1.6,112.5,21.2,87.0,962.3,14.0,,,,,10.0
234,39.484848148400005,-0.3621370647,18,1412211600.0,2014,10,2,3,Thursday,76,0,4.8,1.6,67.5,20.8,87.0,1030.4,11.0,,,,,13.0
234,39.484848148400005,-0.3621370647,18,1412215200.0,2014,10,2,4,Thursday,77,0,4.8,1.6,135.0,20.7,87.0,1021.0,5.0,,,,,13.0
234,39.484848148400005,-0.3621370647,18,1412218800.0,2014,10,2,5,Thursday,78,0,4.8,1.6,135.0,20.6,85.0,893.9,10.0,,,,,15.0
234,39.484848148400005,-0.3621370647,18,1412222400.0,2014,10,2,6,Thursday,79,0,9.7,6.4,157.5,19.6,87.0,1049.0,13.0,,,,,15.0
234,39.484848148400005,-0.3621370647,18,1412226000.0,2014,10,2,7,Thursday,80,0,4.8,3.2,157.5,19.9,85.0,941.4,13.0,,,,,11.0
234,39.484848148400005,-0.3621370647,18,1412229600.0,2014,10,2,8,Thursday,81,0,6.4,3.2,157.5,19.3,86.0,1047.7,15.0,,,,,1.0
234,39.484848148400005,-0.3621370647,18,1412233200.0,2014,10,2,9,Thursday,82,0,6.4,1.6,157.5,19.5,84.0,903.3,15.0,,,,,3.0
234,39.484848148400005,-0.3621370647,18,1412236800.0,2014,10,2,10,Thursday,83,0,6.4,1.6,90.0,22.1,75.0,1003.5,11.0,,,,,1.0
234,39.484848148400005,-0.3621370647,18,1412240400.0,2014,10,2,11,Thursday,84,0,16.1,4.8,45.0,22.7,74.0,1037.1,1.0,,,,,2.0
234,39.484848148400005,-0.3621370647,18,1412244000.0,2014,10,2,12,Thursday,85,0,17.7,9.7,67.5,23.3,74.0,862.2,3.0,,,,,2.0
234,39.484848148400005,-0.3621370647,18,1412247600.0,2014,10,2,13,Thursday,86,0,20.9,9.7,67.5,23.4,74.0,896.7,1.0,,,,,5.0
234,39.484848148400005,-0.3621370647,18,1412251200.0,2014,10,2,14,Thursday,87,0,14.5,6.4,0.0,24.4,72.0,887.8,2.0,,,,,17.0
